"id","pib per capita","densidade populacional","producao cientifica"
"0","53153.46616563362","8.972771613693661","0"
"1","28426.217570238678","3063.9235487902347","181"
"2","5803.812255533616","37.853055455156216","0"
"3","7905.924652718407","7427.902992788439","77"
"4","9907.986011035513","8.325718589722307","0"
"5","33957.58205236549","18.172864226765398","0"
"6","33950.4693845889","14.470053680539019","0"
"7","7335.081608218359","16.594298915495933","0"
"8","11962.245735617696","15.279833559947212","0"
"9","42235.0745577501","9487.247002867769","92"
"10","15096.883624638196","21.561944046304262","0"
"11","5247.042206975385","5931.229096164111","120"
"12","2183.8309361302695","17.498155526780316","0"
"13","699.3730892504742","7.247275673719563","0"
"14","21334.244474856114","15.354563780493397","0"
"15","13166.096923951998","17.355144427335116","0"
"16","30714.831152102586","13.763617011359788","0"
"17","11389.650213762714","17.127085935560807","0"
"18","8404.168647254748","2727.470921640184","37"
"19","36134.085565913556","3809.264542655317","0"
"20","12885.106457753913","21.861300134957997","0"
"21","5960.379220917549","1700.326308196374","0"
"22","27913.40964580106","15.621773463474335","0"
"23","10930.105185275568","11.593315144833928","0"
"24","16609.356523705086","15.12273383246062","0"
"25","8734.05549152811","16.046774513121125","0"
"26","9376.260889567517","7.137791044426963","0"
"27","9894.566562551021","16.035115487949895","0"
"28","1595.8185692307413","666.1913706336641","159"
"29","3728.118033471387","14.996272477256504","0"
"30","2466.16518337262","21.598574390716877","0"
"31","2856.9481940427045","48.97358915630102","0"
"32","17190.35970288287","2764.929964427037","0"
"33","5079.5779093793635","12.541498678150216","0"
"34","9820.27585416203","1346.2579274080822","0"
"35","93189.70481169096","1758.6933595530127","0"
"36","16250.853156900459","30.07849248426075","0"
"37","40778.71147646476","5617.369871801733","52"
"38","10159.410417608824","3838.965873531017","0"
"39","885.8397022617434","11.478778939083895","0"
"40","18322.567050802412","13.314298938363734","0"
"41","10319.788672603088","21.41251565218985","0"
"42","4040.827812076169","22.564504607528654","0"
"43","21578.291518044178","4662.362256077569","0"
"44","6636.9255027117615","16.276484311663857","0"
"45","16449.186647683196","18.986605718851855","0"
"46","12621.151066509154","1257.5995721653414","234"
"47","1606.0320946637466","26.2068505740694","0"
"48","9808.565648232534","18.715301580262985","0"
"49","6164.629819552332","12.37650650931526","0"
"50","27606.560985212727","486.6961018177782","226"
"51","15111.334373663141","25.341414634075257","0"
"52","36461.18986044866","2367.9238149722414","0"
"53","22340.652427700326","3570.1813476053762","0"
"54","29925.58848948962","7016.276065817649","491"
"55","33578.03187319068","5879.547062854236","0"
"56","28680.021419672707","4172.781474660611","82"
"57","32961.12047855218","13.12224379835657","0"
"58","29260.967911000997","5.678933549273314","0"
"59","7609.2045566885035","21.034258412709057","0"
"60","19403.71749778175","12.799360800582564","0"
"61","946.9612609502943","8.222323220687937","0"
"62","35506.96470920775","24.26191544778904","37"
"63","4455.115555915246","24.489465997674603","0"
"64","2337.3858309117995","20.4530155671171","0"
"65","3687.935362505818","14.287103025238912","0"
"66","3557.813478743063","14.520880499005264","0"
"67","18122.75312706596","28.856268140218898","0"
"68","12946.597711240125","10.4306814657225","0"
"69","24273.649304550345","10.642690587530538","0"
"70","39116.86544774624","18.104620777575747","0"
"71","9227.563978872613","3266.584069335307","75"
"72","32377.774456711642","8.395179520294974","0"
"73","4748.903649754948","14.823078836031684","0"
"74","4540.482521949024","3386.8283438328813","272"
"75","46379.474612877406","2204.2338507636164","198"
"76","26396.13352603198","13.458292674036217","0"
"77","12712.983573147367","9.06137063517101","0"
"78","46405.43889645946","27.508010040633344","28"
"79","14694.569451051548","11.70321627125481","0"
"80","17219.892338195466","9.927897193390917","0"
"81","3125.628172973233","4816.547948460598","67"
"82","18530.330562300795","2014.5107210941574","165"
"83","21387.27535396081","6441.107339354442","167"
"84","25570.106406722367","14.885842587121004","0"
"85","378.9884328129761","25.94879641197072","0"
"86","24459.063294465956","10.571379556431667","0"
"87","12717.55945419831","1876.3291104627472","64"
"88","33604.18178768804","21.46570316997165","0"
"89","26580.035780712376","2659.6478583645303","0"
"90","21618.43743890551","3038.7688289667144","249"
"91","1993.161645484946","3968.599245671335","173"
"92","14306.879263129063","3580.7242993070904","0"
"93","16471.743871163868","2415.701717498798","152"
"94","25812.33469606359","4260.517827556694","0"
"95","12757.377259419954","13.689947739516144","0"
"96","60121.62514227662","10.282840620480167","0"
"97","17967.436501563665","16.672725926616483","0"
"98","33393.250464220866","2502.911191961791","0"
"99","3060.8423945054687","11.7905400621493","0"
"100","27539.72135679533","5063.758012610104","0"
"101","54730.31933821142","17.661232054392734","242"
"102","25314.99348068095","26.94907769234486","0"
"103","6720.695777537132","30.3031163748122","0"
"104","15972.073063391865","3180.964737083591","409"
"105","36310.69331899049","4732.793795722174","59"
"106","11362.056075093209","9.579128793795537","0"
"107","25469.122105454724","15.006839075403299","0"
"108","33081.75980314742","3898.700208084804","220"
"109","2492.0749387537453","14.53124312587513","0"
"110","6127.398834233954","10.489626261258056","0"
"111","56246.78969785182","31.2364971286347","0"
"112","25502.29949298351","6189.838909800095","239"
"113","6614.176299667081","5064.012235687078","15"
"114","49684.9952274197","2533.8643736901795","81"
"115","5081.1821911580055","13.333967347925268","0"
"116","5790.198319194466","964.3207123825775","0"
"117","24864.68091454883","840.7825748042634","0"
"118","8865.961859283798","11.720668156881569","0"
"119","13041.407124287882","14.745002604064405","0"
"120","39857.26455545221","25.487288058620674","34"
"121","14439.960027851757","13.54342345826677","0"
"122","7131.311118652496","7469.855430378812","55"
"123","27120.44298355904","4049.1184777761964","0"
"124","7580.909242577517","12.001078435339034","0"
"125","4202.557767632865","15.437288259841095","0"
"126","21937.82230549204","5009.385687291841","0"
"127","23063.389040346403","16.131803818767644","0"
"128","15018.144452465327","24.836646091925694","0"
"129","3054.8920368482245","16.42729197097495","0"
